place	date	cases	daily_cases	r_est	pis	nom	smooth_pis	scenario_dates	scenario
India	2020-03-27	883	153	2.302287764595493	0.7331954916021961	1	0.8414416360638438	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-03-28	1019	136	2.149619529120384	0.6845761731648767	2	0.8249275049405195	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-03-29	1139	120	2.031080539341894	0.6468257866922553	3	0.8086758837823386	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-03-30	1326	187	2.100973838806396	0.6690842779411018	4	0.7927006611679543	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-03-31	1635	309	2.5143470522764213	0.8007287148903577	5	0.7770157256760204	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-01	2059	424	2.865440916197179	0.9125394286136801	6	0.7616349658851898	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-02	2545	486	3.1735955799789237	1.0106755581086229	7	0.7465722703741158	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-03	3105	560	3.3951868703397583	1.0812443799428573	8	0.7318415277214517	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-04	3684	579	3.306938804648148	1.0531405586470552	9	0.7174566265058511	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-05	4293	609	2.9927572631806925	0.9530850863073324	10	0.7034314553059671	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-06	4777	484	2.472984898442255	0.78755636294525	11	0.689779902700453	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-07	5350	573	2.109484706776588	0.6717946819667526	12	0.676515857267962	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-08	5915	565	1.804440101657766	0.5746489938168663	13	0.6636532075871475	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-09	6728	813	1.7196637421117715	0.5476507855262138	14	0.6511809795912847	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-10	7599	871	1.6830042037484485	0.5359760467444054	15	0.6390703407587369	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-11	8453	854	1.7074445311632582	0.5437594082118057	16	0.6273083919857878	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-12	9211	758	1.6449172036548565	0.5238467129631521	17	0.6158822341687227	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-13	10454	1243	1.7769713075907838	0.565901175112631	18	0.6047789682038258	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-14	11485	1031	1.7129639004815558	0.5455171279733814	19	0.5939856949873821	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-15	12371	886	1.5733862939796457	0.5010667020146583	20	0.5834895154156758	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-16	13432	1061	1.5092611376684462	0.4806451560078245	21	0.5732775303849917	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-17	14354	922	1.4471974714260256	0.4608801201243795	22	0.5633368407916144	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-18	15725	1371	1.3879103987977852	0.44199932901312794	23	0.5536545475318285	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-19	17305	1580	1.4442515454089042	0.4599419490983408	24	0.5442177515019184	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-20	18544	1239	1.4501815332246315	0.4618304360193105	25	0.5350135535981688	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-21	20081	1537	1.4768639989849597	0.47032783756100693	26	0.5261138364058663	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-22	21373	1292	1.4718962833144842	0.468745799559865	27	0.517587360245799	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-23	23040	1667	1.4457378519022404	0.4604152840292783	28	0.5094165426175037	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-24	24448	1408	1.3307367246514787	0.4237915789798605	29	0.5015838010205171	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-25	26283	1835	1.3641954775342553	0.4344469832023617	30	0.4940715529543762	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-26	27890	1607	1.311135176425622	0.4175491939015789	31	0.48686221591861784	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-27	29458	1568	1.2956784178071403	0.41262677459842745	32	0.47993820741277893	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-28	31360	1902	1.277314447724762	0.40677851345602284	33	0.4732819449363962	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-29	33065	1705	1.2708255991716697	0.4047120495769288	34	0.46687584598900655	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-30	34866	1801	1.2186021355456595	0.38808076278677844	35	0.4607023280701469	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-01	37262	2396	1.28395392777636	0.40889294802639886	36	0.45474380867935416	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-02	39826	2564	1.3737331222122808	0.4374843785210397	37	0.44898270531616497	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-03	42778	2952	1.4568001273008295	0.4639382191609483	38	0.44340143548011635	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-04	46434	3656	1.6288623786590946	0.5187338311217186	39	0.438461094314403	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-05	49405	2971	1.672888888966494	0.5327546843637694	40	0.4345361146474588	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-06	53007	3602	1.687625689671673	0.5374478230772854	41	0.4314789205066788	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-07	56351	3344	1.63766747528484	0.5215379363462679	42	0.4291419359194586	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-08	59690	3339	1.5462828554723134	0.4924352358590864	43	0.42737758491319333	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-09	62865	3175	1.3909202456423748	0.44295785651381764	44	0.42603829151527856	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-10	67176	4311	1.4053051211540093	0.4475389197651538	45	0.4249764797531094	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-11	70768	3592	1.326173254590879	0.4223382786036231	46	0.42404457365408127	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-12	74330	3562	1.2739877235934065	0.40571907198548945	47	0.42309499724558947	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-13	78056	3726	1.2435101399794652	0.39601306249166895	48	0.4219801745550294	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-14	82047	3991	1.2486434357746627	0.39764783178158025	49	0.4205525296097961	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-15	85855	3808	1.1735918910091856	0.37374662572643863	50	0.41866448643728527	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-16	90649	4794	1.2091285371886638	0.38506376390791774	51	0.41673459375737476	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-17	95698	5049	1.2634711076726095	0.40236990968761527	52	0.41523643293976836	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-18	100326	4628	1.2788017524125197	0.40725216627582767	53	0.41410497698660037	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-19	106480	6154	1.3572945112692163	0.43224927471820335	54	0.4132751989000051	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-20	112200	5720	1.4101029913452103	0.4490668681161712	55	0.4126820716821166	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-21	118223	6023	1.4124309786170526	0.44980824797253416	56	0.41226056833506913	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-22	124759	6536	1.4167604870403334	0.45118704001826304	57	0.41194566186099685	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-23	131424	6665	1.439586924461206	0.45845643581825507	58	0.41167232526203396	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-24	138537	7113	1.4070000065419204	0.4480786795398912	59	0.4113755315403147	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-25	144951	6414	1.3614332776875793	0.43356732232519807	60	0.4109902536979732	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-26	150858	5907	1.287636378031948	0.41006567541824196	61	0.4104514647371439	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-27	158104	7246	1.254722596179467	0.3995838247838765	62	0.40969413765996066	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-28	165358	7254	1.2255374295742558	0.39028940342366936	63	0.40865324546855786	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-29	173496	8138	1.2177399374438735	0.3878061838349989	64	0.4073802331166481	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-30	181860	8364	1.2445248698353475	0.39633621729749646	65	0.4059899481921231	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-05-31	190649	8789	1.3004770067575069	0.4141549518482766	66	0.4045124676483851	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-01	198372	7723	1.2729584901065094	0.4053912982970724	67	0.4029778684388369	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-02	207187	8815	1.274817973989839	0.4059834767471037	68	0.4014162275168809	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-03	216876	9689	1.2746915094064415	0.4059432023453455	69	0.39985762183591966	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-04	226723	9847	1.2710930158760885	0.40479721213787107	70	0.39833212834935583	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-05	236195	9472	1.2443515615220335	0.3962810248598121	71	0.3968698240105918	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-06	246603	10408	1.271630912841565	0.40496851289188573	72	0.39550078577303016	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-07	257485	10882	1.2812305477875416	0.4080256498717426	73	0.3942550905900735	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-08	266021	8536	1.208095121971975	0.3847346584896112	74	0.3931628154151243	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-09	276002	9981	1.1696222537764018	0.37248243965589994	75	0.39225403720158514	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-10	287158	11156	1.1736385459178864	0.3737614836296281	76	0.39150435563862324	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-11	298293	11135	1.159762321109894	0.36934240725432266	77	0.39086236376094263	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-12	309599	11306	1.141181411477688	0.3634250587014171	78	0.3903176285402512	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-13	321638	12039	1.190767675482861	0.37921649267117413	79	0.3898597169482569	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-14	333043	11405	1.1949306917582534	0.3805422629816985	80	0.3894781959566675	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-15	343075	10032	1.1433310683399895	0.3641096467638517	81	0.3891626325371909	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-16	354161	11086	1.1147022561334432	0.35499240418342487	82	0.388902593661535	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-17	367269	13108	1.126625251862044	0.35878944764994325	83	0.38868764630140773	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-18	381098	13829	1.1405443569236235	0.3632221798371294	84	0.38850735742851683	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-19	395838	14740	1.1829336595265367	0.3767216415632259	85	0.38835129401457025	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-20	411753	15915	1.2684764848523156	0.40396394151906784	86	0.38820902303127586	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-21	426904	15151	1.3109481148505857	0.4174896215468204	87	0.3880701114503414	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-22	440464	13560	1.2774039334287377	0.40680701142040715	88	0.387924126243475	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-23	456120	15656	1.2620089462675854	0.40190426409515534	89	0.3879556000279171	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-24	472988	16868	1.251305791957211	0.39849569605819324	90	0.38831360700791673	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-25	491193	18205	1.2438581144803045	0.39612387980092595	91	0.38893452653569355	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-26	509448	18255	1.2492228873290308	0.39783236617115475	92	0.3897547379634677	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-27	529590	20142	1.3046770716853322	0.4154925208163587	93	0.39071062064345907	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-28	549200	19610	1.316408068531862	0.41922841957416945	94	0.3917385539278878	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-29	567539	18339	1.2871908576383202	0.40992379326560757	95	0.3927749171689736	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-06-30	585795	18256	1.2378048768682668	0.39419614227176325	96	0.3937560897189366	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-07-01	605224	19429	1.2068805793404072	0.3843478705322071	97	0.3946184509299968	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-07-02	627171	21947	1.1891101817853122	0.37868864079918396	98	0.3952983801543741	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-07-03	649889	22718	1.190978060660132	0.37928349275076756	99	0.3957322567442884	Mar 27 - Oct 12, 2020	India lockdown - 200 days
